2020-10-10 09:23:06|1605021777.776|Power|System Power On|1
2020-10-10 09:23:11|1605021777.776|Motor1|Motor 1 Position Change|1
2020-10-10 09:23:11|1605021777.776|Motor1|Motor 1 Position Change|2
2020-10-10 09:23:11|1605021777.776|Motor1|Motor 1 Position Change|3
2020-10-10 09:23:11|1605021777.776|Motor1|Motor 1 Position Change|4
2020-10-10 09:23:11|1605021777.776|Motor1|Motor 1 Position Change|5
2020-10-10 09:23:12|1605021777.776|Motor1|Motor 1 Position Change|6
2020-10-10 09:23:13|1605021777.776|Motor2|Motor 2 Position Change|-1
2020-10-10 09:23:14|1605021777.776|Motor2|Motor 2 Position Change|-2
2020-10-10 09:23:14|1605021777.776|Motor2|Motor 2 Position Change|-3
2020-10-10 09:23:14|1605021777.776|Motor2|Motor 2 Position Change|-4
2020-10-10 09:23:14|1605021777.776|Motor2|Motor 2 Position Change|-5
2020-10-10 09:23:14|1605021777.776|Motor2|Motor 2 Position Change|-6
2020-10-10 09:23:14|1605021777.776|Motor2|Motor 2 Position Change|-7
2020-10-10 09:23:14|1605021777.776|Motor2|Motor 2 Position Change|-8
