2020-10-14 23:40:29|1605418816.241|Power|System Power On|1
2020-10-14 23:40:32|1605418816.241|Motor2|Motor 2 Position Change|1
2020-10-14 23:40:33|1605418816.241|Motor2|Motor 2 Position Change|2
2020-10-14 23:40:33|1605418816.241|Motor2|Motor 2 Position Change|3
2020-10-14 23:40:39|1605418816.241|Motor2|Motor 2 Position Change|2
2020-10-14 23:40:39|1605418816.241|Motor2|Motor 2 Position Change|1
2020-10-14 23:40:39|1605418816.241|Motor2|Motor 2 Position Change|0
2020-10-14 23:40:39|1605418816.241|Motor2|Motor 2 Position Change|-1
2020-10-14 23:40:39|1605418816.241|Motor2|Motor 2 Position Change|-2
2020-10-14 23:40:39|1605418816.241|Motor2|Motor 2 Position Change|-3
2020-10-14 23:43:57|1605418816.241|Motor2|Motor 2 Position Change|0
2020-10-14 23:44:13|1605418816.241|Motor1|Motor 1 Position Change|-1
2020-10-14 23:44:14|1605418816.241|Motor1|Motor 1 Position Change|-2
2020-10-14 23:45:57|1605418816.241|Motor1|Motor 1 Position Change|0
2020-10-14 23:55:48|1605418816.241|Motor2|Motor 2 Position Change|1
2020-10-14 23:55:48|1605418816.241|Motor2|Motor 2 Position Change|2
2020-10-14 23:55:49|1605418816.241|Motor2|Motor 2 Position Change|1
2020-10-14 23:55:49|1605418816.241|Motor2|Motor 2 Position Change|0
2020-10-14 23:55:59|1605418816.241|Motor2|Motor 2 Position Change|1
2020-10-14 23:55:59|1605418816.241|Motor2|Motor 2 Position Change|2
2020-10-14 23:55:59|1605418816.241|Motor2|Motor 2 Position Change|3
2020-10-14 23:56:00|1605418816.241|Motor2|Motor 2 Position Change|4
2020-10-14 23:56:01|1605418816.241|Motor2|Motor 2 Position Change|3
2020-10-14 23:56:01|1605418816.241|Motor2|Motor 2 Position Change|2
2020-10-14 23:56:01|1605418816.241|Motor2|Motor 2 Position Change|1
2020-10-14 23:56:02|1605418816.241|Motor2|Motor 2 Position Change|0
2020-10-14 23:56:02|1605418816.241|Motor2|Motor 2 Position Change|-1
2020-10-14 23:56:02|1605418816.241|Motor2|Motor 2 Position Change|-2
2020-10-14 23:56:02|1605418816.241|Motor2|Motor 2 Position Change|-3
2020-10-14 23:58:00|1605418816.241|Motor2|Motor 2 Position Change|0
2020-10-14 23:58:07|1605418816.241|Motor2|Motor 2 Position Change|1
2020-10-14 23:58:08|1605418816.241|Motor2|Motor 2 Position Change|0
