2020-10-12 15:06:27|1605214972.352|Power|System Power On|1
2020-10-12 15:06:27|1605214972.352|Motor2|Motor 2 Position Change|21
2020-10-12 15:06:32|1605214972.352|Motor1|Motor 1 Position Change|-1
2020-10-12 15:06:32|1605214972.352|Motor1|Motor 1 Position Change|-2
2020-10-12 15:06:32|1605214972.352|Motor1|Motor 1 Position Change|-3
2020-10-12 15:06:32|1605214972.352|Motor1|Motor 1 Position Change|-4
2020-10-12 15:06:33|1605214972.352|Motor1|Motor 1 Position Change|-5
2020-10-12 15:06:33|1605214972.352|Motor1|Motor 1 Position Change|-6
2020-10-12 15:06:33|1605214972.352|Motor1|Motor 1 Position Change|-7
2020-10-12 15:06:33|1605214972.352|Motor1|Motor 1 Position Change|-8
2020-10-12 15:06:33|1605214972.352|Motor1|Motor 1 Position Change|-9
