2020-10-15 00:11:13|1605420627.951|Power|System Power On|1
2020-10-15 00:11:14|1605420627.951|Motor2|Motor 2 Position Change|1
2020-10-15 00:11:16|1605420627.951|Motor2|Motor 2 Position Change|0
2020-10-15 00:11:16|1605420627.951|Motor2|Motor 2 Position Change|-1
2020-10-15 00:11:16|1605420627.951|Motor2|Motor 2 Position Change|-2
2020-10-15 00:11:17|1605420627.951|Motor2|Motor 2 Position Change|-3
2020-10-15 00:11:17|1605420627.951|Motor2|Motor 2 Position Change|-4
2020-10-15 00:11:17|1605420627.951|Motor2|Motor 2 Position Change|-5
2020-10-15 00:11:17|1605420627.951|Motor2|Motor 2 Position Change|-6
2020-10-15 00:11:19|1605420627.951|Motor2|Motor 2 Position Change|-5
2020-10-15 00:11:19|1605420627.951|Motor2|Motor 2 Position Change|-4
2020-10-15 00:11:19|1605420627.951|Motor2|Motor 2 Position Change|-3
2020-10-15 00:11:19|1605420627.951|Motor2|Motor 2 Position Change|-2
2020-10-15 00:11:20|1605420627.951|Motor2|Motor 2 Position Change|-1
2020-10-15 00:11:20|1605420627.951|Motor2|Motor 2 Position Change|0
2020-10-15 00:11:20|1605420627.951|Motor2|Motor 2 Position Change|1
2020-10-15 00:11:21|1605420627.951|Motor2|Motor 2 Position Change|0
